"","GameDate","AwayTeam","HomeTeam","qtr","min","sec","kickteam","def","down","togo","kicker","ydline","name","distance","homekick","kickdiff","timerem","offscore","defscore","season","GOOD","Missed","Blocked"
"639",20081123,"CAR","ATL",3,20,30,"CAR","ATL",4,2,6,3,"J.Kasay",21,0,-7,1230,10,17,2008,1,0,0
"893",20081222,"GB","CHI",4,13,2,"GB","CHI",4,10,13,10,"M.Crosby",28,0,4,782,14,10,2008,1,0,0
"256",20080921,"STL","SEA",2,32,55,"STL","SEA",4,6,35,11,"J.Brown",29,0,-21,1975,3,24,2008,1,0,0
"905",20080921,"NO","DEN",4,2,0,"NO","DEN",4,2,22,25,"M.Gramatica",43,0,-2,120,32,34,2008,0,1,0
"62",20081208,"TB","CAR",1,53,53,"CAR","TB",4,15,6,16,"J.Kasay",33,1,0,3233,0,0,2008,1,0,0
"276",20080904,"WAS","NYG",2,41,3,"NYG","WAS",4,4,25,6,"J.Carney",25,1,10,2463,10,0,2008,1,0,0
"340",20081123,"MIN","JAC",2,42,32,"JAC","MIN",4,3,16,3,"J.Scobee",21,1,-10,2552,7,17,2008,1,0,0
"115",20081228,"JAC","BAL",1,54,36,"BAL","JAC",4,14,3,14,"M.Stover",32,1,0,3276,0,0,2008,1,0,0
"416",20080907,"CIN","BAL",2,31,46,"BAL","CIN",4,3,3,3,"M.Stover",21,1,7,1906,7,0,2008,1,0,0
"856",20081207,"NYJ","SF",4,14,47,"SF","NYJ",4,10,34,14,"J.Nedney",32,1,0,887,14,14,2008,1,0,0
"189.1",20081020,"DEN","NE",1,47,11,"NE","DEN",4,9,21,21,"S.Gostkowski",40,1,3,2831,3,0,2008,1,0,0
"1036",20081211,"NO","CHI",5,-3,19,"CHI","NO",2,13,7,18,"R.Gould",35,1,0,-161,24,24,2008,1,0,0
"465",20081116,"ARI","SEA",2,30,5,"ARI","SEA",3,2,1,36,"N.Rackers",54,0,6,1805,13,7,2008,1,0,0
"556",20081005,"CIN","DAL",2,30,37,"CIN","DAL",4,6,8,13,"S.Graham",31,0,-14,1837,3,17,2008,1,0,0
"643",20080914,"CHI","CAR",3,20,27,"CAR","CHI",4,6,6,28,"J.Kasay",45,1,-14,1227,3,17,2008,1,0,0
"677",20081005,"ATL","GB",3,15,32,"GB","ATL",4,2,13,32,"M.Crosby",50,1,-10,932,7,17,2008,1,0,0
"790",20080921,"PIT","PHI",4,2,30,"PHI","PIT",4,5,29,13,"D.Akers",31,1,6,150,12,6,2008,1,0,0
"707",20080928,"DEN","KC",3,23,47,"KC","DEN",4,6,17,25,"N.Novak",43,1,0,1427,13,13,2008,1,0,0
"139",20081110,"SF","ARI",1,54,50,"ARI","SF",4,2,1,10,"N.Rackers",28,1,0,3290,0,0,2008,1,0,0
"724",20081117,"CLE","BUF",3,21,32,"CLE","BUF",4,9,9,26,"P.Dawson",43,0,3,1292,13,10,2008,1,0,0
"62.1",20081208,"TB","CAR",1,53,53,"CAR","TB",4,15,6,16,"J.Kasay",33,1,0,3233,0,0,2008,1,0,0
"587",20080921,"ARI","WAS",2,43,13,"WAS","ARI",4,6,30,30,"S.Suisham",48,1,7,2593,7,0,2008,1,0,0
"561",20081123,"PHI","BAL",2,30,22,"BAL","PHI",4,11,4,35,"S.Hauschka",53,1,10,1822,10,0,2008,0,1,0
"139.1",20081110,"SF","ARI",1,54,50,"ARI","SF",4,2,1,10,"N.Rackers",28,1,0,3290,0,0,2008,1,0,0
"810",20081130,"NO","TB",4,5,38,"NO","TB",4,8,24,25,"G.Hartley",43,0,-3,338,17,20,2008,1,0,0
"837",20081214,"BUF","NYJ",4,13,21,"NYJ","BUF",4,2,27,12,"J.Feely",31,1,1,801,21,20,2008,1,0,0
"741",20081123,"CHI","STL",3,20,17,"CHI","STL",4,7,7,20,"R.Gould",38,0,21,1217,24,3,2008,1,0,0
"137.1",20080928,"DEN","KC",1,50,28,"KC","DEN",4,1,17,3,"N.Novak",21,1,3,3028,3,0,2008,1,0,0
"449",20081019,"TEN","KC",2,42,2,"KC","TEN",4,1,17,21,"N.Novak",39,1,-10,2522,0,10,2008,0,1,0
"230",20081116,"PHI","CIN",2,41,16,"PHI","CIN",4,3,29,23,"D.Akers",42,0,-3,2476,0,3,2008,1,0,0
"594",20081221,"MIA","KC",3,24,11,"KC","MIA",4,6,18,9,"C.Barth",27,1,4,1451,28,24,2008,1,0,0
"385",20081019,"SEA","TB",2,30,2,"TB","SEA",4,7,36,29,"M.Bryant",47,1,17,1802,17,0,2008,0,1,0
"842",20081019,"DET","HOU",4,4,21,"DET","HOU",4,15,12,36,"J.Hanson",54,0,-10,261,18,28,2008,1,0,0
"345",20080928,"HOU","JAC",2,30,23,"JAC","HOU",4,7,16,28,"J.Scobee",46,1,-3,1823,7,10,2008,1,0,0
"1017",20081228,"OAK","TB",4,1,13,"OAK","TB",4,7,28,7,"S.Janikowski",25,0,4,73,28,24,2008,1,0,0
"794",20081102,"PHI","SEA",4,9,33,"PHI","SEA",4,2,29,24,"D.Akers",42,0,13,573,20,7,2008,1,0,0
"945",20080907,"ARI","SF",4,2,0,"ARI","SF",4,8,1,12,"N.Rackers",30,0,7,120,20,13,2008,1,0,0
"400",20080914,"NO","WAS",2,30,5,"NO","WAS",1,10,22,31,"M.Gramatica",49,0,-2,1805,7,9,2008,1,0,0
"706",20081012,"NE","SD",3,19,22,"SD","NE",4,1,32,17,"N.Kaeding",35,1,21,1162,24,3,2008,1,0,0
"243.1",20081207,"MIA","BUF",2,42,18,"MIA","BUF",4,6,19,32,"D.Carpenter",50,0,4,2538,7,3,2008,1,0,0
"426",20081220,"BAL","DAL",2,30,2,"BAL","DAL",1,10,3,19,"M.Stover",37,0,-1,1802,6,7,2008,1,0,0
"773",20081214,"DET","IND",4,0,44,"IND","DET",4,5,15,13,"A.Vinatieri",31,1,7,44,28,21,2008,1,0,0
"5",20080907,"CHI","IND",1,50,56,"IND","CHI",4,21,15,21,"A.Vinatieri",39,1,0,3056,0,0,2008,1,0,0
"163",20081116,"TEN","JAC",1,50,31,"TEN","JAC",4,4,37,14,"R.Bironas",32,0,0,3031,0,0,2008,1,0,0
"8",20081207,"KC","DEN",1,52,34,"KC","DEN",4,7,18,8,"C.Barth",26,0,0,3154,0,0,2008,1,0,0
"814",20080907,"STL","PHI",4,9,6,"STL","PHI",4,10,35,28,"J.Brown",46,0,-38,546,0,38,2008,1,0,0
"4",20081012,"BAL","IND",1,45,42,"IND","BAL",4,1,15,19,"A.Vinatieri",37,1,14,2742,14,0,2008,1,0,0
"500",20081019,"MIN","CHI",2,30,5,"CHI","MIN",2,1,7,31,"R.Gould",48,1,-6,1805,18,24,2008,1,0,0
